No.,Unit weight (KN/m3),Cohesion (Kpa),Internal friction angle (°),Slope angle (°),Slope height (m),Pore water ratio,Slope State,Source
1,12,0,30,35,8,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
2,23.47,0,32,37,214,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
3,16,70,20,40,115,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
4,25,120,45,53,120,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
5,18.68,26.34,15,35,8.23,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
6,16.5,11.49,0,30,3.66,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
7,18.84,14.36,25,20,30.5,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
8,18.84,57.46,20,20,30.5,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
9,28.44,29.42,35,35,100,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
10,28.44,39.23,38,35,100,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
11,20.6,16.28,26.5,30,40,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
12,14.8,0,17,20,50,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
13,14,11.97,26,30,88,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
14,27.3,31.5,29.7,41,135,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
15,27.3,16.8,28,50,90.5,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
16,27.3,26,31,50,92,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
17,27.3,10,39,41,511,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
18,27.3,10,39,40,470,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
19,25,46,35,47,443,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
20,25,46,35,44,435,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
21,25,46,35,46,432,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
22,26,150,45,30,200,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
23,18.5,25,0,30,6,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
24,18.5,12,0,30,6,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
25,22.4,10,35,30,10,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
26,21.4,10,30.34,30,20,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
27,22,20,36,45,50,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
28,22,0,36,45,50,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
29,12,0,30,45,4,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
30,12,0,30,45,8,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
31,31.3,68,37,49,200.5,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
32,20,20,36,45,50,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
33,27,40,35,47.1,292,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
34,25,46,35,50,284,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
35,31,68,37,46,366,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
36,25,46,36,44.5,299,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
37,27.3,10,39,40,480,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
38,25,46,35,46,393,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
39,25,48,40,49,330,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
40,31.3,68.6,37,47,305,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
41,25,55,36,45.5,299,0,S,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
42,31.3,68,37,47,213,0,F,"Feng, X., 2000. Introduction to Intelligent Rock Mechanics."
43,26,150.05,45,50,200,0,S,"Shangguan, Z., Luan, M., 2009. Intelligent forecasting method for slope stability estimation by using probabilistic neural networks."
44,22,0,36,45,50,0,F,"Shangguan, Z., Luan, M., 2009. Intelligent forecasting method for slope stability estimation by using probabilistic neural networks."
45,12,0,30,35,4,0,S,"Shangguan, Z., Luan, M., 2009. Intelligent forecasting method for slope stability estimation by using probabilistic neural networks."
46,21.2,0,35,23.75,150,0.25,S,"Zhou, J., Li, E., Yang, S., Wang, M., Shi, X., Yao, S., Mitri, H.S., 2019. Slope stability prediction for circular mode failure using gradient boosting machine approach based on an updated database of case histories. Safety Science 118, 505–518. https://doi.org/10.1016/j.ssci.2019.05.046"
47,17.98,4.95,30.02,19.98,8,0.3,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
48,21.47,6.9,30.02,31.01,76.8,0.38,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
49,21.78,8.55,32,27.98,12.8,0.49,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
50,21.36,10.05,30.33,30,20,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
51,19.97,10.05,28.98,34.03,6,0.3,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
52,22.38,10.05,35.01,30,10,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
53,22.38,10.05,35.01,45,10,0.4,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
54,19.08,10.05,9.99,25.02,50,0.4,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
55,19.08,10.05,19.98,30,50,0.4,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
56,18.83,10.35,21.29,34.03,37,0.3,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
57,16.47,11.55,0,30,3.6,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
58,19.03,11.7,27.99,34.98,21,0.11,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
59,19.6,12,19.98,22,12.2,0.41,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
60,13.97,12,26.01,30,88,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
61,18.46,12,0,30,6,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
62,13.97,12,26.01,30,88,0.45,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
63,18.8,14.4,25.02,19.98,30.6,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
64,18.8,14.4,25.02,19.98,30.6,0.45,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
65,18.8,15.31,30.02,25.02,10.6,0.38,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
66,20.56,16.21,26.51,30,40,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
67,20.96,19.96,40.01,40.02,12,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
68,21.98,19.96,36,45,50,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
69,19.97,19.96,36,45,50,0.25,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
70,19.97,19.96,36,45,50,0.5,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
71,18.77,19.96,9.99,25.02,50,0.3,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
72,18.77,19.96,19.98,30,50,0.3,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
73,21.98,19.96,22.01,19.98,180,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
74,21.98,19.96,22.01,19.98,180,0.1,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
75,17.98,24.01,30.15,45,20,0.12,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
76,18.83,24.76,21.29,29.2,37,0.5,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
77,20.39,24.91,13.01,22,10.6,0.35,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
78,18.46,25.06,0,30,6,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
79,18.77,25.06,19.98,30,50,0.2,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
80,18.77,25.06,9.99,25.02,50,0.2,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
81,18.66,26.41,14.99,34.98,8.2,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
82,28.4,29.41,35.01,34.98,100,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
83,18.77,30.01,9.99,25.02,50,0.1,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
84,18.77,30.01,19.98,30,50,0.1,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
85,20.96,30.01,35.01,40.02,12,0.4,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
86,18.97,30.01,35.01,34.98,11,0.2,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
87,20.39,33.46,10.98,16.01,45.8,0.2,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
88,20.96,34.96,27.99,40.02,12,0.5,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
89,28.4,39.16,37.98,34.98,100,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
90,19.97,40.06,30.02,30,15,0.3,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
91,19.97,40.06,40.01,40.02,10,0.2,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
92,20.96,45.02,25.02,49.03,12,0.3,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
93,17.98,45.02,25.02,25.02,14,0.3,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
94,18.8,57.47,19.98,19.98,30.6,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
95,15.99,70.07,19.98,40.02,115,0,F,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
96,22.38,99.93,45,45,15,0.25,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
97,24.96,120.04,45,53,120,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
98,25.96,150.05,45,49.98,200,0,S,"Qi, C., Tang, X., 2018. Slope stability prediction using integrated metaheuristic and machine learning approaches: A comparative study. Computers & Industrial Engineering 118, 112–122. https://doi.org/10.1016/j.cie.2018.02.028"
99,31.3,68,37,46,366,0.25,F,"Zhou, K., Chen, Z., 2009. Stability Prediction of Tailing Dam Slope Based on Neural Network Pattern Recognition, in: 2009 Second International Conference on Environmental and Computer Science. Presented at the 2009 Second International Conference on Environmental and Computer Science, IEEE, Dubai, UAE, pp. 380–383. https://doi.org/10.1109/ICECS.2009.55"
100,27,32,33,42.6,301,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
101,27.3,31.5,29.7,41,135,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
102,27.3,16.8,28,50,90.5,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
103,27.3,26,31,50,92,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
104,27.3,10,39,41,511,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
105,27.3,10,39,40,470,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
106,25,46,35,44,435,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
107,31.3,68,37,49,200.5,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
108,25,0,35,50,284,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
109,25,55,36,45.5,299,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
110,31.3,68,37,47,213,0.25,S,"Feng, X., Wang, Y., Lu, S., 1995. NEURAL NETWORK ESTIMATION OF SLOPE STABILITY. JOURNAL OF ENGINEERING GEOLOGY 3, 54–61."
111,12,0,30,35,8,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
112,23.47,0,32,37,214,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
113,16,70,20,40,115,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
114,20.41,24.91,13,22,10.67,0.35,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
115,20.41,33.52,11,16,45.72,0.2,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
116,18.84,15.32,30,25,10.67,0.38,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
117,25,120,45,53,120,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
118,25,55,36,45,239,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
119,25,63,32,44.5,239,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
120,25,63,32,46,300,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
121,25,48,40,45,330,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
122,31.3,68.6,37,47.5,262.5,0.25,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
123,31.3,68.6,37,47,270,0.25,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
124,31.3,58.8,35.5,47.5,438.5,0.25,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
125,31.3,58.8,35.5,47.5,502.7,0.25,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
126,31.3,68,37,47,360.5,0.25,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
127,31.3,68,37,48,305.5,0.25,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
128,18.68,26.34,15,35,8.23,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
129,16.5,11.49,0,30,3.66,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
130,18.84,14.36,25,20,30.5,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
131,18.84,57.46,20,20,30.5,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
132,28.44,29.42,35,35,100,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
133,28.44,39.23,38,35,100,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
134,20.6,16.28,26.5,30,40,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
135,14.8,0,17,20,50,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
136,14,11.97,26,30,88,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
137,22.4,100,45,45,15,0.25,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
138,22,0,40,33,8,0.35,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
139,24,0,40,33,8,0.3,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
140,27,35,35,42,359,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
141,27,37.5,35,37.8,320,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
142,12,0,30,45,4.1,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
